,image_name,inputs
0,dataset\images\frame_001.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
1,dataset\images\frame_002.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
2,dataset\images\frame_003.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
3,dataset\images\frame_004.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
4,dataset\images\frame_005.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
5,dataset\images\frame_006.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
6,dataset\images\frame_007.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
7,dataset\images\frame_008.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
8,dataset\images\frame_009.png,"{'left': True, 'right': False, 'up': True, 'down': False}"
9,dataset\images\frame_010.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
10,dataset\images\frame_011.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
11,dataset\images\frame_012.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
12,dataset\images\frame_013.png,"{'left': True, 'right': False, 'up': True, 'down': False}"
13,dataset\images\frame_014.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
14,dataset\images\frame_015.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
15,dataset\images\frame_016.png,"{'left': False, 'right': True, 'up': True, 'down': False}"
16,dataset\images\frame_017.png,"{'left': False, 'right': True, 'up': True, 'down': False}"
17,dataset\images\frame_018.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
18,dataset\images\frame_019.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
19,dataset\images\frame_020.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
20,dataset\images\frame_021.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
21,dataset\images\frame_022.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
22,dataset\images\frame_023.png,"{'left': False, 'right': True, 'up': True, 'down': False}"
23,dataset\images\frame_024.png,"{'left': False, 'right': True, 'up': True, 'down': False}"
24,dataset\images\frame_025.png,"{'left': False, 'right': True, 'up': True, 'down': False}"
25,dataset\images\frame_026.png,"{'left': False, 'right': True, 'up': True, 'down': False}"
26,dataset\images\frame_027.png,"{'left': False, 'right': True, 'up': True, 'down': False}"
27,dataset\images\frame_028.png,"{'left': True, 'right': False, 'up': True, 'down': False}"
28,dataset\images\frame_029.png,"{'left': True, 'right': False, 'up': True, 'down': False}"
29,dataset\images\frame_030.png,"{'left': True, 'right': False, 'up': True, 'down': False}"
30,dataset\images\frame_031.png,"{'left': True, 'right': False, 'up': True, 'down': False}"
31,dataset\images\frame_032.png,"{'left': True, 'right': False, 'up': True, 'down': False}"
32,dataset\images\frame_033.png,"{'left': True, 'right': False, 'up': True, 'down': False}"
33,dataset\images\frame_034.png,"{'left': True, 'right': False, 'up': True, 'down': False}"
34,dataset\images\frame_035.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
35,dataset\images\frame_036.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
36,dataset\images\frame_037.png,"{'left': False, 'right': True, 'up': True, 'down': False}"
37,dataset\images\frame_038.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
38,dataset\images\frame_039.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
39,dataset\images\frame_040.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
40,dataset\images\frame_041.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
41,dataset\images\frame_042.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
42,dataset\images\frame_043.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
43,dataset\images\frame_044.png,"{'left': False, 'right': True, 'up': True, 'down': False}"
44,dataset\images\frame_045.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
45,dataset\images\frame_046.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
46,dataset\images\frame_047.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
47,dataset\images\frame_048.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
48,dataset\images\frame_049.png,"{'left': False, 'right': True, 'up': True, 'down': False}"
49,dataset\images\frame_050.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
50,dataset\images\frame_051.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
51,dataset\images\frame_052.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
52,dataset\images\frame_053.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
53,dataset\images\frame_054.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
54,dataset\images\frame_055.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
55,dataset\images\frame_056.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
56,dataset\images\frame_057.png,"{'left': True, 'right': False, 'up': True, 'down': False}"
57,dataset\images\frame_058.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
58,dataset\images\frame_059.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
59,dataset\images\frame_060.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
60,dataset\images\frame_061.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
61,dataset\images\frame_062.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
62,dataset\images\frame_063.png,"{'left': False, 'right': True, 'up': True, 'down': False}"
63,dataset\images\frame_064.png,"{'left': False, 'right': True, 'up': True, 'down': False}"
64,dataset\images\frame_065.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
65,dataset\images\frame_066.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
66,dataset\images\frame_067.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
67,dataset\images\frame_068.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
68,dataset\images\frame_069.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
69,dataset\images\frame_070.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
70,dataset\images\frame_071.png,"{'left': False, 'right': True, 'up': True, 'down': False}"
71,dataset\images\frame_072.png,"{'left': False, 'right': True, 'up': True, 'down': False}"
72,dataset\images\frame_073.png,"{'left': False, 'right': True, 'up': True, 'down': False}"
73,dataset\images\frame_074.png,"{'left': False, 'right': True, 'up': True, 'down': False}"
74,dataset\images\frame_075.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
75,dataset\images\frame_076.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
76,dataset\images\frame_077.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
77,dataset\images\frame_078.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
78,dataset\images\frame_079.png,"{'left': False, 'right': True, 'up': True, 'down': False}"
79,dataset\images\frame_080.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
80,dataset\images\frame_081.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
81,dataset\images\frame_082.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
82,dataset\images\frame_083.png,"{'left': False, 'right': False, 'up': True, 'down': False}"
